"Date","Price","Open","High","Low","Vol.","Change %"
"11/22/2021","398.04","398.04","398.04","398.04","","0.00%"
"11/19/2021","398.04","398.04","398.04","398.04","","0.00%"
"11/18/2021","398.04","398.04","398.04","398.04","","0.00%"
"11/16/2021","398.04","398.04","398.04","398.04","","0.00%"
"11/15/2021","398.04","398.04","398.04","398.04","","-0.29%"
"11/12/2021","399.20","399.20","399.20","399.20","","0.00%"
"11/11/2021","399.20","399.20","399.20","399.20","","-0.29%"
"11/10/2021","400.36","400.36","400.36","400.36","","0.52%"
"11/09/2021","398.28","398.28","398.28","398.28","","0.00%"
"11/08/2021","398.28","398.28","398.28","398.28","","1.41%"
"11/05/2021","392.74","392.74","392.74","392.74","","0.00%"
"11/04/2021","392.74","392.74","392.74","392.74","","0.75%"
"11/03/2021","389.83","389.83","389.83","389.83","","0.11%"
"11/02/2021","389.41","389.41","389.41","389.41","","0.00%"
"10/29/2021","389.41","389.41","389.41","389.41","","-0.24%"
"10/28/2021","390.34","390.34","390.34","390.34","","0.24%"
"10/27/2021","389.41","391.50","391.50","389.41","","-0.12%"
"10/26/2021","389.88","394.60","394.83","389.88","","-1.25%"
"10/25/2021","394.83","395.06","396.22","394.83","","-0.06%"
"10/22/2021","395.06","397.38","397.38","395.04","","0.01%"
"10/21/2021","395.04","395.06","395.06","392.74","","1.10%"
"10/20/2021","390.74","390.74","390.74","390.74","","0.01%"
"10/19/2021","390.72","390.74","390.74","390.72","","0.85%"
"10/18/2021","387.41","387.41","387.41","387.41","","0.00%"
"10/15/2021","387.41","387.41","387.41","387.41","","0.00%"
"10/14/2021","387.41","387.41","387.41","387.41","","0.00%"
"10/13/2021","387.41","387.41","387.41","387.41","","0.20%"
"10/12/2021","386.63","386.63","386.63","386.63","","-0.60%"
"10/11/2021","388.95","388.95","388.95","388.95","","0.60%"
"10/08/2021","386.63","388.95","389.41","386.63","","-0.59%"
"10/07/2021","388.92","386.63","388.92","386.63","","0.59%"
"10/06/2021","386.63","386.21","386.63","386.21","","0.11%"
"10/05/2021","386.21","386.21","386.21","386.21","","0.00%"
"10/04/2021","386.21","386.21","386.21","386.21","","0.00%"
"10/01/2021","386.21","386.21","386.21","383.89","","-0.24%"
"09/30/2021","387.14","383.92","387.14","383.92","","0.00%"
"09/29/2021","387.14","387.14","387.14","387.14","","0.00%"
"09/28/2021","387.14","387.14","387.14","387.14","","-0.60%"
"09/27/2021","389.46","389.46","389.46","389.46","","0.57%"
"09/24/2021","387.26","387.26","387.26","387.26","","-0.56%"
"09/23/2021","389.46","387.26","389.46","387.26","","0.57%"
"09/22/2021","387.26","387.26","387.26","387.26","","0.00%"
"09/21/2021","387.26","387.26","387.26","387.26","","0.00%"
"09/20/2021","387.26","387.26","387.26","387.26","","0.00%"
"09/17/2021","387.26","387.26","387.26","387.26","","0.00%"
"09/16/2021","387.26","387.26","387.26","386.16","","0.00%"
"09/14/2021","387.26","386.16","387.26","386.16","","0.00%"
"09/13/2021","387.26","387.26","387.26","387.26","","0.00%"
"09/10/2021","387.26","387.26","387.26","387.26","","-1.12%"
"09/09/2021","391.66","387.70","391.66","387.70","","-0.34%"
"09/08/2021","392.98","387.26","392.98","387.26","","1.48%"
"09/07/2021","387.26","393.42","393.42","387.26","","-1.57%"
"09/06/2021","393.42","387.26","393.42","387.26","","1.59%"
"09/03/2021","387.26","387.26","387.26","387.26","","0.00%"
"09/02/2021","387.26","387.26","387.26","387.26","","0.00%"
"08/31/2021","387.26","387.26","387.26","387.26","","0.00%"
"08/30/2021","387.26","387.26","387.26","387.26","","-0.95%"
"08/27/2021","390.96","390.96","390.96","387.26","","0.57%"
"08/26/2021","388.76","388.76","388.76","388.76","","0.00%"
"08/25/2021","388.76","388.76","388.76","388.76","","0.00%"
"08/24/2021","388.76","388.76","388.76","388.76","","7.04%"
"08/23/2021","363.19","363.19","363.19","363.19","","0.00%"
"08/20/2021","363.19","363.19","363.19","363.19","","0.00%"
"08/19/2021","363.19","365.39","367.59","363.19","","-0.60%"
"08/18/2021","365.39","365.39","365.39","365.39","","0.61%"
"08/17/2021","363.19","363.19","363.19","363.19","","0.00%"
"08/16/2021","363.19","363.19","363.19","363.19","","0.00%"
"08/13/2021","363.19","363.19","363.19","363.19","","-0.48%"
"08/12/2021","364.95","368.58","368.58","364.95","","-1.10%"
"08/11/2021","369.02","369.02","369.02","369.02","","0.60%"
"08/10/2021","366.82","366.82","366.82","366.82","","-0.48%"
"08/09/2021","368.58","368.58","368.58","368.58","","0.00%"
"08/06/2021","368.58","364.95","368.58","364.95","","0.87%"
"08/05/2021","365.39","365.39","365.39","365.39","","-0.60%"
"08/04/2021","367.59","367.59","367.59","367.59","","0.00%"
"08/03/2021","367.59","367.59","367.59","367.59","","1.36%"
"08/02/2021","362.66","362.66","362.66","362.66","","-1.14%"
"07/30/2021","366.84","370.49","370.49","366.84","","-1.22%"
"07/29/2021","371.36","370.49","371.36","370.49","","1.23%"
"07/28/2021","366.84","366.84","366.84","366.84","","0.00%"
"07/27/2021","366.84","366.84","366.84","366.84","","0.00%"
"07/26/2021","366.84","366.84","366.84","366.84","","-1.18%"
"07/23/2021","371.23","371.23","371.23","371.23","","0.00%"
"07/22/2021","371.23","371.23","371.23","371.23","","0.85%"
"07/21/2021","368.09","368.09","368.09","368.09","","0.00%"
"07/20/2021","368.09","368.09","368.09","368.09","","0.00%"
"07/19/2021","368.09","368.09","368.09","368.09","","0.00%"
"07/16/2021","368.09","368.09","368.09","368.09","","0.67%"
"07/15/2021","365.65","365.65","365.65","365.65","","0.11%"
"07/14/2021","365.25","365.25","365.25","365.25","","0.00%"
"07/13/2021","365.25","365.25","365.25","365.25","","0.00%"
"07/12/2021","365.25","365.25","365.25","365.25","","0.00%"
"07/09/2021","365.25","365.25","365.25","365.25","","0.00%"
"07/08/2021","365.25","365.25","365.25","365.25","","0.00%"
"07/07/2021","365.25","365.25","365.25","365.25","","0.00%"
"07/06/2021","365.25","365.25","365.25","365.25","","0.11%"
"07/02/2021","364.84","364.84","364.84","364.84","","0.00%"
"07/01/2021","364.84","364.84","364.84","364.84","","0.00%"
"06/30/2021","364.84","364.84","364.84","364.84","","0.00%"
"06/29/2021","364.84","364.84","364.84","364.84","","-0.12%"
"06/25/2021","365.28","365.28","365.28","365.28","","0.00%"
"06/24/2021","365.28","365.28","365.28","365.28","","0.00%"
"06/23/2021","365.28","365.28","365.28","365.28","","-0.95%"
"06/22/2021","368.80","368.80","368.80","368.80","","0.00%"
"06/21/2021","368.80","364.84","368.80","364.84","","1.09%"
"06/18/2021","364.84","364.84","364.84","364.84","","0.00%"
"06/17/2021","364.84","364.84","364.84","364.84","","-0.56%"
"06/16/2021","366.88","366.88","366.88","366.88","","0.00%"
"06/15/2021","366.88","366.88","366.88","366.88","","-1.05%"
"06/14/2021","370.76","370.76","370.76","370.76","","0.12%"
"06/11/2021","370.33","370.33","370.33","370.33","","0.94%"
"06/10/2021","366.88","366.88","366.88","366.88","","0.00%"
"06/09/2021","366.88","370.33","370.33","366.88","","-0.93%"
"06/08/2021","370.33","370.33","370.33","370.33","","-0.12%"
"06/07/2021","370.76","370.76","370.76","370.76","","0.00%"
"06/04/2021","370.76","370.76","370.76","370.76","","0.00%"
"06/03/2021","370.76","370.76","370.76","370.76","","0.00%"
"06/02/2021","370.76","370.76","370.76","370.76","","0.00%"
"06/01/2021","370.76","370.76","370.76","370.76","","0.00%"
"05/31/2021","370.76","370.76","370.76","370.76","","0.00%"
"05/28/2021","370.76","370.76","370.76","370.76","","1.18%"
"05/27/2021","366.45","366.45","366.45","366.45","","-1.16%"
"05/26/2021","370.76","370.76","370.76","370.76","","-0.20%"
"05/25/2021","371.50","371.50","371.50","371.50","","0.00%"
"05/24/2021","371.50","371.50","371.50","371.50","","0.72%"
"05/21/2021","368.86","368.86","368.86","368.86","","0.00%"
"05/20/2021","368.86","368.86","368.86","368.86","","0.59%"
"05/19/2021","366.70","366.70","366.70","366.70","","0.00%"
"05/18/2021","366.70","366.70","366.70","366.70","","-0.93%"
"05/17/2021","370.15","370.15","370.15","370.15","","0.00%"
"05/14/2021","370.15","370.15","370.15","370.15","","0.00%"
"05/13/2021","370.15","370.15","370.15","370.15","","0.00%"
"05/12/2021","370.15","370.15","370.15","370.15","","0.12%"
"05/11/2021","369.72","369.72","369.72","369.72","","0.10%"
"05/10/2021","369.35","369.35","369.35","369.35","","-1.63%"
"05/07/2021","375.46","375.46","375.46","375.46","","0.02%"
"05/06/2021","375.38","375.38","375.46","375.38","","1.17%"
"05/05/2021","371.05","371.05","371.05","371.05","","0.82%"
"05/04/2021","368.04","368.04","368.04","368.04","","0.00%"
"05/03/2021","368.04","368.04","368.04","368.04","","0.00%"
"04/30/2021","368.04","368.04","368.04","368.04","","0.00%"
"04/29/2021","368.04","368.04","368.04","368.04","","0.59%"
"04/28/2021","365.88","365.88","365.88","365.88","","-1.10%"
"04/27/2021","369.94","369.94","369.94","369.94","","0.00%"
"04/26/2021","369.94","369.94","369.94","369.94","","0.00%"
"04/23/2021","369.94","369.94","369.94","369.94","","0.00%"
"04/22/2021","369.94","369.94","369.94","369.94","","0.00%"
"04/21/2021","369.94","369.94","369.94","369.94","","-0.92%"
"04/20/2021","373.39","373.39","373.39","373.39","","0.93%"
"04/19/2021","369.94","369.94","369.94","369.94","","0.00%"
"04/16/2021","369.94","369.94","369.94","369.94","","0.00%"
"04/15/2021","369.94","369.94","369.94","369.94","","0.00%"
"04/14/2021","369.94","369.94","369.94","369.94","","0.00%"
"04/13/2021","369.94","369.94","369.94","369.94","","0.00%"
"04/12/2021","369.94","365.88","369.94","365.88","","1.11%"
"04/09/2021","365.88","365.88","365.88","365.88","","0.71%"
"04/08/2021","363.29","363.72","363.72","363.29","","-0.12%"
"04/07/2021","363.72","363.72","363.72","363.72","","0.10%"
"04/06/2021","363.36","363.36","363.36","363.36","","0.00%"
"04/01/2021","363.36","363.36","363.36","363.36","","0.00%"
"03/31/2021","363.36","363.36","363.36","363.36","","0.00%"
"03/30/2021","363.36","369.45","369.45","363.36","","-1.42%"
"03/29/2021","368.59","368.59","368.59","368.59","","-0.23%"
"03/26/2021","369.45","369.45","369.45","369.45","","0.00%"
"03/25/2021","369.45","369.45","369.45","369.45","","0.10%"
