"Date","Price","Open","High","Low","Vol.","Change %"
"08/19/2020","4,407.71","4,398.21","4,408.56","4,384.61","32.07M","0.01%"
"08/18/2020","4,407.45","4,431.00","4,455.42","4,393.57","39.12M","-0.62%"
"08/17/2020","4,435.15","4,450.25","4,454.10","4,423.18","28.36M","-0.14%"
"08/14/2020","4,441.52","4,475.61","4,475.61","4,418.65","38.35M","-0.84%"
"08/13/2020","4,479.11","4,475.41","4,487.09","4,459.93","37.06M","-0.06%"
"08/12/2020","4,481.69","4,438.29","4,481.69","4,438.29","51.58M","1.07%"
"08/11/2020","4,434.06","4,402.81","4,467.73","4,402.81","68.40M","0.85%"
"08/10/2020","4,396.49","4,379.98","4,408.37","4,368.39","46.41M","0.67%"
"08/07/2020","4,367.31","4,367.97","4,385.24","4,349.42","31.80M","-0.25%"
"08/06/2020","4,378.27","4,386.33","4,423.56","4,344.01","43.34M","-0.56%"
"08/05/2020","4,403.01","4,406.95","4,413.57","4,386.28","50.31M","0.53%"
"08/04/2020","4,379.78","4,375.61","4,387.80","4,350.68","47.23M","0.73%"
"08/03/2020","4,347.85","4,293.98","4,354.79","4,255.48","50.71M","1.21%"
"07/31/2020","4,295.82","4,322.65","4,362.00","4,295.82","57.21M","-0.22%"
"07/30/2020","4,305.42","4,354.67","4,354.67","4,282.57","85.62M","-2.05%"
"07/29/2020","4,395.60","4,404.26","4,420.81","4,388.44","73.08M","-0.27%"
"07/28/2020","4,407.40","4,446.94","4,455.49","4,380.20","43.56M","-1.01%"
"07/27/2020","4,452.41","4,481.87","4,487.63","4,445.90","78.42M","-0.89%"
"07/24/2020","4,492.30","4,507.70","4,531.99","4,478.41","64.31M","-1.02%"
"07/23/2020","4,538.69","4,528.29","4,543.69","4,507.45","55.79M","0.64%"
"07/22/2020","4,509.75","4,539.34","4,556.19","4,501.77","65.31M","-0.79%"
"07/21/2020","4,545.81","4,551.41","4,571.64","4,534.09","97.93M","0.27%"
"07/20/2020","4,533.49","4,474.36","4,533.49","4,453.60","69.22M","1.20%"
"07/17/2020","4,479.77","4,480.88","4,483.02","4,461.26","50.78M","0.26%"
"07/16/2020","4,468.22","4,395.03","4,470.93","4,394.39","53.79M","1.09%"
"07/15/2020","4,419.93","4,473.78","4,474.18","4,410.79","70.00M","-0.68%"
"07/14/2020","4,450.10","4,441.23","4,450.10","4,397.35","68.54M","-0.51%"
"07/13/2020","4,472.83","4,462.40","4,479.76","4,435.23","64.08M","0.18%"
"07/10/2020","4,464.64","4,408.80","4,469.41","4,402.29","59.10M","0.77%"
"07/09/2020","4,430.35","4,490.19","4,490.19","4,430.35","47.08M","-1.03%"
"07/08/2020","4,476.47","4,424.44","4,476.47","4,409.28","60.50M","0.54%"
"07/07/2020","4,452.22","4,372.79","4,456.22","4,371.76","67.51M","1.02%"
"07/06/2020","4,407.48","4,444.32","4,474.43","4,398.15","69.48M","0.05%"
"07/03/2020","4,405.06","4,428.22","4,441.86","4,389.72","41.79M","-0.54%"
"07/02/2020","4,429.03","4,372.99","4,439.37","4,372.99","84.21M","1.79%"
"07/01/2020","4,351.21","4,367.54","4,373.93","4,306.48","60.29M","-0.89%"
"06/30/2020","4,390.25","4,393.17","4,396.67","4,366.13","56.03M","-0.06%"
"06/29/2020","4,392.67","4,341.33","4,398.85","4,316.57","72.73M","0.77%"
"06/26/2020","4,359.24","4,388.16","4,416.73","4,358.49","74.67M","-0.33%"
"06/25/2020","4,373.86","4,351.57","4,378.10","4,315.54","80.61M","0.04%"
"06/24/2020","4,371.92","4,433.89","4,449.64","4,371.92","80.13M","-1.75%"
"06/23/2020","4,449.68","4,438.78","4,468.19","4,425.31","59.48M","0.80%"
"06/22/2020","4,414.20","4,428.75","4,447.26","4,403.69","63.35M","-1.06%"
"06/19/2020","4,461.27","4,455.95","4,470.72","4,431.04","101.10M","0.75%"
"06/18/2020","4,428.24","4,434.66","4,480.94","4,415.72","94.03M","-0.50%"
"06/17/2020","4,450.47","4,439.94","4,487.49","4,432.40","95.54M","0.41%"
"06/16/2020","4,432.27","4,395.74","4,460.56","4,385.55","112.44M","2.44%"
"06/15/2020","4,326.78","4,294.78","4,343.81","4,262.09","83.35M","-0.76%"
"06/12/2020","4,359.99","4,310.36","4,427.02","4,289.14","141.16M","0.09%"
"06/11/2020","4,356.08","4,405.82","4,427.84","4,356.08","126.79M","-2.84%"
"06/10/2020","4,483.21","4,545.46","4,550.52","4,463.45","105.26M","-0.88%"
"06/09/2020","4,523.08","4,610.39","4,619.77","4,499.12","138.93M","-1.63%"
"06/08/2020","4,597.93","4,553.95","4,622.87","4,548.23","164.34M","-0.24%"
"06/05/2020","4,609.19","4,644.85","4,678.20","4,588.89","179.50M","-0.26%"
"06/04/2020","4,621.13","4,606.18","4,638.00","4,591.00","138.04M","-0.33%"
"06/03/2020","4,636.33","4,606.29","4,672.50","4,598.89","234.15M","1.74%"
"06/02/2020","4,557.20","4,464.85","4,557.20","4,451.37","191.19M","2.97%"
"06/01/2020","4,425.86","4,376.04","4,425.86","4,374.98","86.72M","2.20%"
"05/29/2020","4,330.67","4,375.75","4,376.01","4,316.45","139.56M","-1.14%"
"05/28/2020","4,380.64","4,330.80","4,383.23","4,330.38","143.97M","1.77%"
"05/27/2020","4,304.54","4,316.08","4,344.30","4,276.14","177.52M","0.12%"
"05/26/2020","4,299.31","4,329.38","4,334.78","4,277.78","121.63M","0.52%"
"05/25/2020","4,276.97","4,257.31","4,290.34","4,257.31","56.47M","0.84%"
"05/22/2020","4,241.25","4,181.91","4,256.93","4,166.68","100.97M","0.62%"
"05/21/2020","4,214.95","4,171.47","4,241.69","4,160.86","121.58M","-0.20%"
"05/20/2020","4,223.33","4,156.55","4,223.33","4,145.20","108.51M","1.00%"
"05/19/2020","4,181.55","4,219.56","4,219.56","4,164.93","122.30M","0.03%"
"05/18/2020","4,180.22","4,064.25","4,181.13","4,064.25","97.49M","4.62%"
"05/15/2020","3,995.72","3,997.42","4,042.63","3,976.27","83.52M","0.94%"
"05/14/2020","3,958.57","4,046.77","4,050.38","3,909.68","123.60M","-2.91%"
"05/13/2020","4,077.15","4,085.05","4,133.54","4,072.16","105.75M","-1.81%"
"05/12/2020","4,152.15","4,168.32","4,189.66","4,146.68","68.47M","-1.37%"
"05/11/2020","4,209.83","4,241.84","4,251.23","4,194.84","74.04M","-0.67%"
"05/08/2020","4,238.40","4,265.48","4,277.95","4,230.52","54.47M","0.42%"
"05/07/2020","4,220.85","4,183.39","4,235.82","4,180.46","67.65M","0.85%"
"05/06/2020","4,185.10","4,216.82","4,234.92","4,179.89","75.90M","-0.87%"
"05/05/2020","4,222.02","4,235.23","4,261.77","4,196.89","101.45M","0.84%"
"05/04/2020","4,186.69","4,206.46","4,218.56","4,149.86","93.74M","-2.28%"
"04/30/2020","4,284.18","4,342.77","4,356.42","4,265.73","165.10M","-0.62%"
"04/29/2020","4,310.88","4,234.25","4,313.05","4,220.60","129.30M","2.30%"
"04/28/2020","4,213.76","4,121.68","4,228.95","4,105.98","99.33M","1.87%"
"04/27/2020","4,136.58","4,147.18","4,162.51","4,103.42","66.71M","0.59%"
"04/24/2020","4,112.48","4,118.79","4,136.10","4,069.59","89.03M","-0.88%"
"04/23/2020","4,148.91","4,131.25","4,162.86","4,117.64","85.59M","1.18%"
"04/22/2020","4,100.59","4,036.83","4,100.59","4,033.42","61.34M","1.60%"
"04/21/2020","4,035.94","4,097.68","4,100.90","4,035.94","84.66M","-2.27%"
"04/20/2020","4,129.50","4,158.40","4,171.74","4,073.33","75.35M","-1.02%"
"04/17/2020","4,172.21","4,186.78","4,197.34","4,150.49","95.00M","1.59%"
"04/16/2020","4,106.81","4,166.55","4,167.29","4,088.07","115.22M","-0.75%"
"04/15/2020","4,137.91","4,234.53","4,234.53","4,119.22","161.29M","-2.20%"
"04/14/2020","4,231.03","4,276.18","4,289.24","4,215.67","140.05M","0.83%"
"04/09/2020","4,196.31","4,109.58","4,215.34","4,109.58","138.77M","3.07%"
"04/08/2020","4,071.37","4,057.24","4,071.37","4,023.52","106.67M","0.05%"
"04/07/2020","4,069.46","4,094.35","4,178.21","4,032.04","184.31M","1.27%"
"04/06/2020","4,018.62","4,028.57","4,044.47","3,971.94","119.24M","1.16%"
"04/03/2020","3,972.71","3,985.95","4,005.75","3,961.43","136.79M","-0.52%"
"04/02/2020","3,993.57","4,020.64","4,046.08","3,950.56","166.46M","0.02%"
"04/01/2020","3,992.69","4,002.41","4,021.16","3,952.20","112.54M","-1.89%"
"03/31/2020","4,069.55","4,021.10","4,098.86","3,988.46","126.09M","2.17%"
"03/30/2020","3,983.24","3,932.07","3,983.86","3,848.45","83.30M","1.02%"
"03/27/2020","3,942.86","3,968.65","4,014.04","3,897.99","91.63M","-1.76%"
"03/26/2020","4,013.65","3,912.72","4,013.65","3,886.36","107.07M","1.47%"
"03/25/2020","3,955.62","4,016.76","4,151.94","3,850.65","191.24M","1.91%"
"03/24/2020","3,881.64","3,718.38","3,881.64","3,694.85","155.36M","7.82%"
"03/23/2020","3,600.00","3,554.70","3,613.67","3,500.02","129.02M","-1.91%"
"03/20/2020","3,670.00","3,699.20","3,766.69","3,658.99","218.18M","2.06%"
"03/19/2020","3,596.08","3,693.95","3,736.91","3,580.21","147.54M","-1.26%"
"03/18/2020","3,641.80","3,806.10","3,862.21","3,619.81","161.30M","-5.03%"
"03/17/2020","3,834.87","3,809.42","3,835.05","3,638.58","179.35M","4.49%"
"03/16/2020","3,670.03","3,634.95","3,710.78","3,547.01","175.42M","-4.36%"
"03/13/2020","3,837.38","3,895.57","4,130.94","3,811.39","206.78M","0.83%"
"03/12/2020","3,805.92","4,039.44","4,069.09","3,784.30","200.14M","-9.76%"
"03/11/2020","4,217.44","4,297.56","4,339.19","4,195.72","144.25M","-0.47%"
"03/10/2020","4,237.23","4,326.43","4,494.22","4,232.89","217.04M","-0.69%"
"03/09/2020","4,266.88","4,460.92","4,475.76","4,257.79","196.37M","-8.66%"
"03/06/2020","4,671.50","4,748.26","4,766.97","4,649.58","137.39M","-3.85%"
"03/05/2020","4,858.80","4,989.77","4,989.77","4,840.83","103.00M","-2.20%"
"03/04/2020","4,967.93","4,914.33","5,002.90","4,897.96","81.73M","1.59%"
"03/03/2020","4,890.02","4,897.31","4,963.24","4,862.37","116.40M","1.53%"
"03/02/2020","4,816.12","4,882.59","4,899.95","4,707.24","129.68M","1.06%"
"02/28/2020","4,765.73","4,799.41","4,847.95","4,731.98","130.61M","-3.76%"
"02/27/2020","4,952.15","5,033.00","5,064.42","4,905.28","104.21M","-3.10%"
"02/26/2020","5,110.34","5,044.93","5,129.95","4,962.90","114.59M","0.63%"
"02/25/2020","5,078.36","5,233.34","5,240.28","5,078.00","90.75M","-2.28%"
"02/24/2020","5,197.09","5,298.63","5,300.58","5,184.94","91.11M","-3.53%"
"02/21/2020","5,387.00","5,424.71","5,424.71","5,345.77","51.33M","-0.45%"
"02/20/2020","5,411.21","5,451.76","5,454.21","5,411.21","52.89M","-0.45%"
"02/19/2020","5,435.85","5,401.60","5,440.88","5,388.99","46.58M","0.87%"
"02/18/2020","5,389.13","5,372.50","5,401.28","5,372.50","36.12M","-0.15%"
"02/17/2020","5,397.46","5,369.86","5,402.93","5,369.86","25.56M","1.30%"
"02/14/2020","5,328.34","5,331.45","5,363.49","5,320.30","32.70M","-0.07%"
"02/13/2020","5,331.96","5,303.82","5,331.96","5,289.04","57.30M","0.32%"
"02/12/2020","5,314.94","5,330.67","5,333.90","5,302.70","42.42M","-0.46%"
"02/11/2020","5,339.48","5,299.28","5,356.54","5,293.38","59.23M","1.09%"
"02/10/2020","5,282.06","5,278.09","5,284.46","5,254.98","56.29M","-0.15%"
"02/07/2020","5,289.93","5,280.85","5,291.67","5,268.13","43.05M","0.05%"
