"mic","symbol","isin","date","open_value","high_value","low_value","last_value","change_prev_close_percentage","turnover"
"XLJU","SBITOP","SI0026109882","2020-03-16",761.38,761.38,719.46,725.41,-4.72,3841909.50
"XLJU","SBITOP","SI0026109882","2020-03-13",750.24,765.92,712.97,761.38,1.02,6142976.18
"XLJU","SBITOP","SI0026109882","2020-03-12",823.39,823.39,751.82,753.70,-8.96,5159936.44
"XLJU","SBITOP","SI0026109882","2020-03-11",845.42,859.60,825.57,827.84,-1.91,2524500.00
"XLJU","SBITOP","SI0026109882","2020-03-10",816.64,851.91,811.41,843.94,3.18,4006691.50
"XLJU","SBITOP","SI0026109882","2020-03-09",880.74,880.74,811.63,817.92,-7.28,5257185.70
"XLJU","SBITOP","SI0026109882","2020-03-06",902.61,902.61,874.01,882.14,-2.43,2356134.30
"XLJU","SBITOP","SI0026109882","2020-03-05",910.73,915.08,904.13,904.13,-0.81,1810290.10
"XLJU","SBITOP","SI0026109882","2020-03-04",902.64,912.72,900.65,911.47,0.98,1467466.20
"XLJU","SBITOP","SI0026109882","2020-03-03",893.08,910.70,893.08,902.64,1.00,2677689.52
"XLJU","SBITOP","SI0026109882","2020-03-02",907.56,910.09,892.42,893.68,-1.47,1881988.84
"XLJU","SBITOP","SI0026109882","2020-02-28",929.24,929.24,896.88,907.00,-2.41,2910538.31
"XLJU","SBITOP","SI0026109882","2020-02-27",928.89,936.33,924.56,929.42,0.19,2140263.30
"XLJU","SBITOP","SI0026109882","2020-02-26",917.98,927.97,902.86,927.67,0.72,2797596.56
"XLJU","SBITOP","SI0026109882","2020-02-25",943.52,949.20,919.99,921.03,-2.30,2915999.39
"XLJU","SBITOP","SI0026109882","2020-02-24",979.48,979.48,936.74,942.73,-3.76,3901106.29
"XLJU","SBITOP","SI0026109882","2020-02-21",981.44,986.14,977.90,979.57,-0.22,839453.48
"XLJU","SBITOP","SI0026109882","2020-02-20",983.96,985.05,981.15,981.75,-0.22,2002773.50
"XLJU","SBITOP","SI0026109882","2020-02-19",980.11,983.96,979.15,983.96,0.09,1322651.50
"XLJU","SBITOP","SI0026109882","2020-02-18",978.15,983.44,978.10,983.07,0.45,2382607.61
"XLJU","SBITOP","SI0026109882","2020-02-17",979.45,985.00,978.70,978.70,-0.14,2339891.20
"XLJU","SBITOP","SI0026109882","2020-02-14",977.45,982.72,977.25,980.06,0.27,817417.40
"XLJU","SBITOP","SI0026109882","2020-02-13",981.55,983.80,977.45,977.45,-0.59,866532.44
"XLJU","SBITOP","SI0026109882","2020-02-12",979.25,983.22,979.25,983.22,0.48,1067494.60
"XLJU","SBITOP","SI0026109882","2020-02-11",975.37,979.39,975.02,978.51,0.21,938887.70
"XLJU","SBITOP","SI0026109882","2020-02-10",977.46,980.20,974.63,976.48,-0.17,804324.30
"XLJU","SBITOP","SI0026109882","2020-02-07",980.18,980.18,969.85,978.16,-0.09,1184626.50
"XLJU","SBITOP","SI0026109882","2020-02-06",970.44,979.94,970.44,979.07,0.84,1624572.00
"XLJU","SBITOP","SI0026109882","2020-02-05",965.25,971.41,962.03,970.87,0.54,311709.90
"XLJU","SBITOP","SI0026109882","2020-02-04",963.55,966.10,960.64,965.65,0.60,1200451.40
"XLJU","SBITOP","SI0026109882","2020-02-03",971.49,974.45,956.99,959.85,-1.20,1447412.26
"XLJU","SBITOP","SI0026109882","2020-01-31",974.22,976.61,970.53,971.49,-0.39,1726764.30
"XLJU","SBITOP","SI0026109882","2020-01-30",964.21,976.92,961.85,975.26,1.10,1479845.40
"XLJU","SBITOP","SI0026109882","2020-01-29",961.14,964.61,957.02,964.61,0.36,1274056.27
"XLJU","SBITOP","SI0026109882","2020-01-28",962.94,962.94,956.68,961.14,-0.25,1217692.96
"XLJU","SBITOP","SI0026109882","2020-01-27",969.69,969.69,957.74,963.58,-0.69,1368693.48
"XLJU","SBITOP","SI0026109882","2020-01-24",969.89,973.29,966.48,970.30,0.04,1199811.50
"XLJU","SBITOP","SI0026109882","2020-01-23",967.78,973.27,962.11,969.89,0.22,919426.90
"XLJU","SBITOP","SI0026109882","2020-01-22",958.14,969.88,953.52,967.78,1.01,1068535.10
