Date, Open, High, Low, Close
01/26/22, 920.23, 933.34, 920.23, 932.96
01/25/22, 918.39, 923.03, 911.83, 913.36
01/24/22, 940.85, 941.33, 912.85, 914.84
01/21/22, 950.31, 951.36, 939.42, 942.46
01/20/22, 953.23, 959.59, 949.80, 957.60
01/19/22, 942.27, 952.42, 941.56, 951.65
01/18/22, 952.39, 953.22, 942.66, 944.64
01/17/22, 951.66, 959.44, 951.66, 956.28
01/14/22, 951.20, 951.45, 942.59, 949.39
01/13/22, 948.48, 960.88, 946.45, 955.76
01/12/22, 938.13, 952.32, 935.54, 950.38
01/11/22, 919.85, 934.82, 919.85, 934.61
01/10/22, 909.67, 923.93, 909.67, 918.41
01/07/22, 903.91, 908.40, 901.86, 906.48
01/05/22, 907.06, 910.16, 903.51, 905.70
01/04/22, 902.75, 908.12, 902.02, 908.08
01/03/22, 895.54, 900.66, 895.19, 898.84
12/31/21, 891.95, 894.04, 890.89, 893.34
12/30/21, 893.25, 895.16, 889.90, 890.76
12/29/21, 887.21, 895.57, 887.21, 893.61
12/28/21, 886.23, 892.09, 886.18, 889.29
12/27/21, 888.53, 889.54, 884.85, 885.91
12/23/21, 883.44, 890.88, 883.44, 890.73
12/22/21, 880.59, 885.15, 880.59, 884.03
12/21/21, 880.23, 884.78, 879.26, 881.19
12/20/21, 877.40, 877.40, 865.49, 876.93
12/17/21, 892.36, 892.42, 883.57, 887.50
12/16/21, 888.35, 894.90, 887.81, 892.83
12/15/21, 883.89, 889.11, 880.17, 883.36
12/14/21, 888.44, 889.61, 879.68, 885.40
12/13/21, 900.35, 904.32, 887.14, 887.96
12/10/21, 896.05, 900.32, 893.90, 898.63
12/09/21, 894.42, 898.29, 893.59, 898.29
12/08/21, 891.94, 896.53, 890.81, 892.92
12/07/21, 885.89, 893.22, 885.88, 891.84
12/06/21, 878.83, 883.08, 874.46, 878.34
12/03/21, 878.75, 886.49, 878.75, 879.23
12/02/21, 875.06, 879.84, 869.85, 876.89
12/01/21, 869.48, 878.36, 869.48, 877.24
11/30/21, 865.23, 867.82, 857.87, 867.71
11/29/21, 864.05, 875.48, 863.98, 871.34
11/26/21, 892.51, 892.51, 857.92, 858.93
11/25/21, 892.71, 899.17, 891.58, 898.97
11/24/21, 892.40, 897.08, 888.05, 889.58
11/23/21, 905.85, 905.85, 894.26, 894.94
11/22/21, 913.25, 923.27, 909.07, 911.43
11/19/21, 923.30, 926.28, 910.47, 915.02
11/18/21, 920.30, 927.67, 920.30, 923.07
11/17/21, 910.74, 918.89, 910.49, 917.87
11/16/21, 911.57, 919.80, 909.79, 909.99
11/15/21, 914.13, 914.48, 909.88, 910.63
11/12/21, 918.69, 922.52, 913.94, 913.94
11/11/21, 916.59, 918.21, 911.90, 917.80
11/10/21, 920.92, 920.92, 913.11, 918.06
11/09/21, 920.66, 924.30, 919.19, 920.52
11/08/21, 908.46, 922.15, 905.10, 921.26
11/05/21, 909.62, 910.29, 899.03, 906.85
11/04/21, 908.73, 912.34, 907.22, 908.62
11/03/21, 905.53, 911.78, 905.53, 908.12
11/02/21, 904.67, 906.31, 902.59, 904.47
11/01/21, 901.40, 910.41, 901.40, 905.16
10/29/21, 906.81, 907.02, 894.58, 898.06
10/27/21, 902.89, 907.14, 901.58, 906.57
10/26/21, 903.39, 906.31, 901.33, 902.09
10/25/21, 908.81, 908.81, 899.62, 901.15
10/22/21, 906.64, 911.46, 905.04, 905.04
10/21/21, 908.44, 908.44, 902.58, 905.53
10/20/21, 899.72, 908.18, 899.41, 908.13
10/19/21, 890.97, 898.96, 890.47, 898.96
10/18/21, 894.03, 899.03, 889.92, 891.30
10/15/21, 891.12, 894.96, 889.39, 894.74
10/14/21, 886.01, 891.00, 884.72, 888.59
10/13/21, 890.03, 895.79, 883.76, 884.11
10/12/21, 880.11, 890.61, 879.60, 890.61
10/11/21, 891.32, 891.47, 883.51, 884.05
10/08/21, 889.49, 896.07, 886.89, 892.60
10/07/21, 879.64, 891.25, 879.64, 889.09
10/06/21, 880.23, 880.58, 873.12, 876.37
10/05/21, 869.27, 882.18, 868.86, 882.10
10/04/21, 869.84, 876.98, 868.71, 871.88
10/01/21, 860.45, 872.52, 853.87, 871.06
09/30/21, 868.77, 873.17, 861.58, 865.34
09/29/21, 859.85, 867.16, 854.86, 866.35
09/28/21, 874.41, 874.74, 860.03, 860.03
09/27/21, 871.71, 879.57, 871.71, 875.43
09/24/21, 882.08, 882.08, 866.52, 873.10
09/23/21, 897.69, 902.66, 884.03, 886.72
09/22/21, 895.33, 897.67, 891.54, 894.30
09/21/21, 892.72, 898.25, 887.56, 894.33
09/20/21, 902.34, 902.34, 886.07, 892.13
09/17/21, 911.10, 913.56, 905.24, 912.81
09/16/21, 905.84, 909.45, 905.84, 909.16
09/15/21, 906.64, 907.48, 901.91, 904.10
09/14/21, 905.86, 907.08, 900.13, 906.81
09/13/21, 904.71, 910.25, 903.29, 905.37
09/10/21, 898.76, 904.63, 897.27, 901.13
09/09/21, 904.05, 904.14, 892.62, 899.22
09/08/21, 905.65, 905.65, 894.83, 905.48
09/07/21, 915.58, 917.62, 909.26, 909.29
09/06/21, 916.64, 920.61, 910.21, 915.62
09/03/21, 916.34, 919.74, 912.98, 915.05
09/02/21, 920.40, 921.30, 913.12, 917.06
09/01/21, 926.45, 928.87, 918.06, 918.06
08/31/21, 929.76, 931.94, 920.75, 923.15
08/30/21, 915.29, 929.26, 915.29, 929.26
08/27/21, 914.77, 915.96, 912.82, 914.39
08/26/21, 913.89, 916.42, 911.83, 915.75
08/25/21, 907.93, 915.46, 907.34, 914.43
08/24/21, 899.24, 911.17, 899.24, 907.56
08/23/21, 886.69, 899.00, 886.69, 897.44
08/20/21, 880.01, 886.47, 878.95, 883.11
08/19/21, 894.09, 894.09, 878.33, 881.95
08/18/21, 900.65, 902.26, 896.59, 898.58
08/17/21, 899.09, 901.79, 895.31, 899.88
08/16/21, 893.97, 899.07, 889.98, 898.90
08/13/21, 893.12, 897.06, 892.60, 895.29
08/12/21, 899.41, 902.79, 893.26, 893.98
08/11/21, 897.61, 900.44, 896.30, 900.10
08/10/21, 891.71, 897.68, 891.71, 897.15
08/09/21, 890.56, 895.42, 887.15, 893.07
08/06/21, 902.06, 902.71, 890.34, 893.47
08/05/21, 898.21, 904.67, 898.21, 903.33
08/04/21, 895.99, 899.59, 895.29, 895.71
08/03/21, 896.62, 901.19, 893.35, 895.19
08/02/21, 889.85, 898.02, 889.85, 897.45
07/30/21, 884.35, 888.26, 880.41, 888.26
07/29/21, 878.30, 884.96, 878.07, 882.74
07/28/21, 876.19, 881.52, 872.24, 877.99
07/27/21, 868.70, 877.25, 866.51, 876.35
07/26/21, 864.52, 870.13, 860.13, 869.90
07/23/21, 859.59, 864.82, 859.59, 864.44
07/22/21, 857.19, 862.18, 854.67, 858.13
07/21/21, 840.82, 854.43, 840.82, 854.22
07/20/21, 837.39, 842.80, 834.51, 838.83
07/19/21, 864.78, 864.78, 830.07, 833.16
07/16/21, 864.35, 870.10, 863.96, 866.81
07/15/21, 868.74, 870.79, 862.17, 863.78
07/14/21, 868.67, 873.43, 865.06, 871.07
07/13/21, 873.12, 874.34, 866.97, 869.72
07/12/21, 875.76, 885.52, 873.04, 873.87
07/09/21, 858.47, 875.23, 858.47, 874.25
07/08/21, 874.27, 874.27, 856.73, 859.46
07/07/21, 879.34, 883.66, 876.91, 877.22
07/06/21, 876.07, 878.90, 870.51, 878.55
07/05/21, 885.42, 886.11, 875.43, 876.96
07/02/21, 889.38, 892.87, 884.51, 886.66
07/01/21, 889.01, 891.86, 887.48, 888.13
06/30/21, 894.20, 895.44, 883.96, 884.89
06/29/21, 901.97, 904.13, 891.76, 893.60
06/28/21, 910.43, 910.78, 901.75, 903.34
06/25/21, 909.21, 909.30, 903.36, 907.76
06/24/21, 909.66, 912.78, 908.01, 909.84
06/23/21, 909.30, 914.87, 909.30, 910.34
06/22/21, 906.04, 912.03, 905.19, 908.10
06/18/21, 914.69, 915.84, 905.49, 905.55
06/17/21, 912.76, 916.43, 909.45, 914.77
06/16/21, 920.05, 920.05, 911.02, 911.60
06/15/21, 926.31, 927.56, 918.71, 920.03
06/14/21, 927.23, 928.29, 922.30, 927.29
06/11/21, 924.31, 926.32, 923.62, 925.83
06/10/21, 911.32, 924.54, 911.32, 924.30
06/09/21, 912.40, 915.08, 910.16, 913.34
06/08/21, 900.73, 913.78, 900.73, 913.48
06/07/21, 901.87, 907.05, 901.17, 902.02
06/04/21, 895.84, 903.15, 894.14, 901.60
06/03/21, 897.66, 899.85, 892.51, 894.94
06/02/21, 894.66, 902.26, 894.66, 900.49
06/01/21, 897.48, 898.65, 890.94, 894.13
05/31/21, 889.93, 894.90, 889.93, 894.85
05/28/21, 885.51, 892.50, 885.51, 887.60
05/27/21, 874.24, 887.91, 873.00, 883.39
05/26/21, 871.70, 878.44, 869.81, 873.61
05/25/21, 881.39, 883.17, 868.02, 868.11
05/24/21, 869.19, 881.01, 869.19, 880.26
05/21/21, 891.67, 892.69, 852.54, 867.56
05/20/21, 881.82, 890.35, 874.92, 888.41
05/19/21, 894.96, 896.01, 879.15, 881.04
05/18/21, 906.82, 910.28, 900.65, 900.65
05/17/21, 907.75, 914.23, 902.73, 903.48
05/14/21, 903.44, 907.42, 897.86, 907.08
05/13/21, 884.79, 903.67, 880.03, 899.42
05/12/21, 896.09, 901.88, 890.76, 894.70
05/11/21, 896.39, 896.39, 886.58, 896.04
05/10/21, 901.25, 912.68, 900.89, 906.07
05/07/21, 910.11, 911.67, 891.85, 897.01
05/06/21, 911.09, 917.30, 908.14, 910.21
05/05/21, 913.76, 914.71, 908.44, 911.42
04/29/21, 912.53, 919.05, 910.37, 910.37
04/28/21, 904.36, 910.71, 897.35, 910.37
04/27/21, 914.62, 918.95, 903.44, 903.44
04/26/21, 906.61, 919.21, 906.61, 913.12
04/23/21, 894.76, 899.58, 890.89, 899.58
04/22/21, 878.43, 896.82, 878.43, 893.76
04/21/21, 876.74, 881.05, 870.39, 875.44
04/20/21, 874.29, 883.09, 869.50, 876.76
04/19/21, 895.36, 896.29, 873.34, 875.76
04/16/21, 904.10, 907.74, 897.47, 898.63
04/15/21, 904.04, 907.05, 902.52, 905.31
04/14/21, 899.58, 902.90, 895.13, 902.04
04/13/21, 900.15, 903.22, 894.73, 899.90
04/12/21, 894.26, 903.45, 893.62, 897.55
04/09/21, 883.18, 891.69, 882.73, 891.69
04/08/21, 881.44, 886.15, 880.98, 884.77
04/07/21, 879.00, 884.50, 875.91, 881.49
04/06/21, 879.07, 885.92, 876.26, 877.04
04/01/21, 866.89, 876.60, 866.89, 875.22
03/31/21, 873.23, 874.55, 863.44, 865.05
03/30/21, 865.80, 873.62, 862.05, 873.62
03/29/21, 855.48, 870.06, 855.48, 862.83
03/26/21, 840.30, 853.63, 840.10, 851.82
03/24/21, 830.59, 838.61, 829.33, 837.09
03/23/21, 831.22, 836.65, 823.73, 831.86
03/22/21, 829.69, 835.65, 826.87, 832.06
03/19/21, 842.05, 842.05, 830.78, 833.07
03/18/21, 860.11, 862.36, 840.18, 844.56
