"Date","Price","Open","High","Low","Vol.","Change %"
"05/23/2022","922.83","922.83","922.83","922.83","","0.13%"
"05/20/2022","921.61","921.61","921.61","921.61","","0.18%"
"05/19/2022","919.91","919.91","919.91","919.91","","0.37%"
"05/18/2022","916.56","916.56","916.56","916.56","","0.31%"
"05/17/2022","913.77","913.77","913.77","913.77","","0.24%"
"05/16/2022","911.59","911.59","911.59","911.59","","0.18%"
"05/13/2022","909.96","909.96","909.96","909.96","","0.50%"
"05/12/2022","905.47","905.47","905.47","905.47","","-0.47%"
"05/11/2022","909.74","909.74","909.74","909.74","","0.42%"
"05/10/2022","905.92","905.92","905.92","905.92","","0.33%"
"05/09/2022","902.96","902.96","902.96","902.96","","-1.11%"
"05/06/2022","913.07","913.07","913.07","913.07","","-0.35%"
"05/05/2022","916.24","916.24","916.24","916.24","","0.52%"
"05/04/2022","911.49","911.49","911.49","911.49","","-0.12%"
"05/03/2022","912.62","912.62","912.62","912.62","","-0.05%"
"05/02/2022","913.11","913.11","913.11","913.11","","-0.23%"
"04/29/2022","915.25","915.25","915.25","915.25","","-0.30%"
"04/28/2022","917.96","917.96","917.96","917.96","","0.27%"
"04/27/2022","915.47","915.47","915.47","915.47","","0.62%"
"04/26/2022","909.82","909.82","909.82","909.82","","0.04%"
"04/25/2022","909.44","909.44","909.44","909.44","","-0.49%"
"04/22/2022","913.89","913.89","913.89","913.89","","-0.02%"
"04/21/2022","914.07","914.07","914.07","914.07","","-0.14%"
"04/20/2022","915.35","915.35","915.35","915.35","","-0.52%"
"04/19/2022","920.15","920.15","920.15","920.15","","-0.11%"
"04/14/2022","921.20","921.20","921.20","921.20","","0.65%"
"04/13/2022","915.29","915.29","915.29","915.29","","-0.07%"
"04/12/2022","915.94","915.94","915.94","915.94","","-0.30%"
"04/11/2022","918.66","918.66","918.66","918.66","","-0.22%"
"04/08/2022","920.65","920.65","920.65","920.65","","0.11%"
"04/07/2022","919.65","919.65","919.65","919.65","","-0.11%"
"04/06/2022","920.64","920.64","920.64","920.64","","-0.63%"
"04/05/2022","926.48","926.48","926.48","926.48","","1.79%"
"04/04/2022","910.19","910.19","910.19","910.19","","0.76%"
"04/01/2022","903.32","903.32","903.32","903.32","","0.93%"
"03/31/2022","894.98","894.98","894.98","894.98","","0.02%"
"03/30/2022","894.84","894.84","894.84","894.84","","0.95%"
"03/29/2022","886.39","886.39","886.39","886.39","","0.26%"
"03/28/2022","884.08","884.08","884.08","884.08","","-0.29%"
"03/25/2022","886.62","886.62","886.62","886.62","","0.45%"
"03/24/2022","882.63","882.63","882.63","882.63","","0.40%"
"03/23/2022","879.14","879.14","879.14","879.14","","-0.19%"
