"Date","Price","Open","High","Low","Vol.","Change %"
"08/10/2022","1,141.44","1,146.20","1,158.40","1,139.49","","-0.21%"
"08/09/2022","1,143.85","1,153.86","1,154.73","1,143.85","","-0.04%"
"08/08/2022","1,144.28","1,137.07","1,146.64","1,128.97","","0.81%"
"08/05/2022","1,135.09","1,131.30","1,139.07","1,130.43","","0.25%"
"08/04/2022","1,132.28","1,125.54","1,138.01","1,125.54","","0.52%"
"08/03/2022","1,126.44","1,131.63","1,132.75","1,119.97","","-0.38%"
"08/02/2022","1,130.70","1,127.67","1,131.15","1,121.50","","0.26%"
"08/01/2022","1,127.81","1,118.24","1,127.81","1,116.09","","-1.02%"
"07/29/2022","1,139.48","1,117.65","1,139.77","1,115.19","","0.41%"
"07/28/2022","1,134.78","1,141.33","1,144.08","1,129.31","","-0.57%"
"07/27/2022","1,141.33","1,155.07","1,155.07","1,130.87","","-1.17%"
"07/26/2022","1,154.90","1,152.55","1,159.82","1,147.19","","0.36%"
"07/25/2022","1,150.79","1,130.38","1,153.97","1,129.33","","0.82%"
"07/22/2022","1,141.47","1,143.94","1,150.83","1,135.51","","-0.14%"
"07/21/2022","1,143.06","1,137.60","1,145.95","1,136.53","","0.81%"
"07/20/2022","1,133.89","1,124.70","1,133.89","1,119.96","","0.71%"
"07/19/2022","1,125.93","1,120.72","1,126.32","1,115.71","","0.66%"
"07/18/2022","1,118.59","1,115.42","1,120.20","1,113.89","","-0.16%"
"07/15/2022","1,120.37","1,120.31","1,130.77","1,109.13","","-0.21%"
"07/14/2022","1,122.73","1,129.82","1,132.59","1,122.73","","-0.51%"
"07/13/2022","1,128.54","1,143.36","1,145.14","1,127.79","","-0.51%"
"07/12/2022","1,134.31","1,158.17","1,159.34","1,133.65","","-2.07%"
"07/11/2022","1,158.26","1,155.04","1,159.87","1,154.06","","0.03%"
"07/08/2022","1,157.95","1,135.81","1,157.95","1,135.81","","2.73%"
"07/07/2022","1,127.21","1,136.29","1,137.47","1,116.64","","-0.78%"
"07/06/2022","1,136.05","1,139.07","1,143.93","1,119.20","","-0.27%"
"07/05/2022","1,139.07","1,126.71","1,139.20","1,126.71","","1.16%"
"07/04/2022","1,126.03","1,137.46","1,141.34","1,122.89","","-1.29%"
"07/01/2022","1,140.79","1,134.99","1,142.79","1,134.59","","0.72%"
"06/30/2022","1,132.58","1,129.71","1,132.58","1,123.52","","0.36%"
"06/29/2022","1,128.49","1,131.99","1,132.26","1,122.18","","-0.13%"
"06/28/2022","1,129.98","1,112.68","1,132.40","1,101.06","","1.59%"
"06/27/2022","1,112.29","1,112.24","1,112.29","1,110.99","","-0.05%"
"06/22/2022","1,112.81","1,123.21","1,131.27","1,112.81","","-0.93%"
"06/21/2022","1,123.21","1,129.71","1,130.36","1,122.97","","-0.51%"
"06/20/2022","1,128.98","1,127.84","1,130.24","1,124.49","","0.94%"
"06/17/2022","1,118.52","1,121.48","1,121.89","1,105.80","","-0.19%"
"06/16/2022","1,120.60","1,120.91","1,123.39","1,119.25","","0.20%"
"06/15/2022","1,118.41","1,118.51","1,120.60","1,115.28","","0.15%"
"06/14/2022","1,116.78","1,130.08","1,130.08","1,114.70","","-1.17%"
"06/13/2022","1,129.97","1,132.69","1,140.14","1,127.65","","-0.35%"
"06/10/2022","1,133.95","1,135.17","1,138.35","1,133.01","","-0.11%"
"06/09/2022","1,135.22","1,124.26","1,136.70","1,124.01","","1.06%"
"06/08/2022","1,123.34","1,107.29","1,129.20","1,107.29","","1.31%"
"06/07/2022","1,108.86","1,086.81","1,123.06","1,085.76","","1.95%"
"06/06/2022","1,087.68","1,092.15","1,095.38","1,087.68","","-0.54%"
"06/03/2022","1,093.61","1,093.71","1,105.08","1,067.12","","-0.03%"
